id,female,age,state
1,1,45,3
2,0,98,3
3,0,90,3
4,0,99,3
5,0,80,2
6,1,42,3
7,0,70,2
8,0,97,2
9,0,100,2
10,1,85,3
11,1,40,3
12,0,73,2
13,0,63,2
14,0,86,1
15,1,66,3
16,1,71,3
17,1,95,1
18,0,58,2
19,1,86,3
20,0,79,1
21,0,93,2
22,0,62,3
23,0,83,1
24,0,42,2
25,0,78,2
26,0,92,2
27,1,95,2
28,0,54,3
29,0,52,3
30,1,87,2
31,0,49,2
32,0,47,3
33,1,61,1
34,0,95,2
35,1,40,2
36,1,41,2
37,1,49,2
38,1,64,2
39,1,86,3
40,0,87,2
41,0,43,3
42,1,92,2
43,1,76,3
44,0,82,1
45,0,48,1
46,0,60,3
47,0,98,2
48,1,79,1
49,1,99,2
50,1,78,3
51,0,68,1
52,0,56,2
53,0,89,2
54,0,94,3
55,1,40,3
56,0,91,2
57,1,57,3
58,1,82,2
59,0,49,2
60,1,46,3
61,1,45,2
62,1,63,1
63,0,82,3
64,1,66,3
65,1,49,2
66,1,98,3
67,0,82,3
68,1,62,3
69,1,97,3
70,1,82,1
71,1,73,3
72,1,94,1
73,1,81,3
74,0,64,3
75,1,68,3
76,1,50,2
77,1,43,1
78,1,43,1
79,1,64,3
80,0,55,3
81,0,91,3
82,1,93,1
83,1,80,2
84,0,85,3
85,0,74,2
86,1,98,2
87,1,99,1
88,0,68,1
89,1,91,3
90,0,74,1
91,1,55,1
92,1,45,1
93,0,99,2
94,0,86,2
95,1,70,2
96,1,80,2
97,0,40,3
98,0,42,3
99,1,66,3
100,1,80,2
101,1,93,3
102,1,79,3
103,1,50,1
104,0,80,3
105,1,54,3
106,1,97,3
107,1,71,3
108,1,79,3
109,1,65,3
110,0,79,2
111,1,51,1
112,1,63,2
113,0,53,3
114,1,44,3
115,0,77,2
116,1,70,2
117,1,98,3
118,0,68,1
119,0,42,3
120,0,78,1
121,0,100,2
122,0,93,1
123,1,51,3
124,1,86,3
125,0,55,2
126,0,58,2
127,1,93,2
128,0,46,2
129,0,68,3
130,0,63,2
131,1,54,2
132,0,70,3
133,1,44,2
134,1,78,2
135,1,84,2
136,1,62,3
137,0,50,3
138,1,70,1
139,1,47,3
140,1,50,1
141,1,94,2
142,1,53,2
143,0,81,1
144,1,61,3
145,1,82,3
146,0,78,1
147,0,45,2
148,1,64,1
149,1,95,3
150,0,43,2
151,1,70,3
152,0,87,1
153,0,50,3
154,0,49,3
155,0,42,3
156,0,77,3
157,1,51,2
158,0,97,1
159,1,92,2
160,1,56,2
161,1,64,2
162,1,41,2
163,0,57,2
164,0,57,2
165,0,42,1
166,0,84,2
167,1,56,3
168,1,54,1
169,1,77,3
170,1,72,3
171,1,46,1
172,1,65,2
173,0,41,3
174,1,82,1
175,1,97,1
176,0,53,2
177,0,75,1
178,0,50,3
179,0,45,2
180,1,62,3
181,1,53,1
182,1,59,2
183,0,65,2
184,0,73,1
185,1,87,2
186,1,66,3
187,1,41,3
188,0,88,2
189,1,40,2
190,1,56,2
191,0,64,1
192,0,66,2
193,0,69,1
194,1,100,1
195,1,90,1
196,0,62,1
197,1,75,2
198,0,90,1
199,1,42,2
200,1,81,1
201,0,52,1
202,0,72,1
203,1,67,3
204,0,69,3
205,0,94,1
206,1,68,3
207,0,61,2
208,1,61,3
209,1,83,2
210,0,40,2
211,1,64,1
212,1,46,2
213,1,69,2
214,1,43,3
215,0,82,1
216,0,80,2
217,1,62,1
218,0,49,2
219,1,45,2
220,0,55,2
221,1,48,3
222,1,80,3
223,1,52,1
224,1,67,1
225,0,57,1
226,0,75,2
227,1,91,1
228,1,61,1
229,1,73,3
230,0,80,3
231,0,61,2
232,1,96,3
233,0,94,1
234,0,67,1
235,0,50,2
236,0,47,3
237,1,54,3
238,0,54,3
239,1,58,1
240,1,90,3
241,0,47,3
242,1,59,3
243,0,49,2
244,1,87,2
245,1,78,1
246,1,56,3
247,1,94,2
248,0,53,2
249,1,88,2
250,1,96,1
251,0,82,3
252,0,74,1
253,1,57,2
254,0,56,3
255,0,85,2
256,1,80,2
257,1,77,3
258,1,60,3
259,0,64,2
260,0,45,3
261,0,84,3
262,1,51,1
263,0,95,3
264,1,95,3
265,1,44,2
266,0,51,3
267,1,84,3
268,1,58,2
269,1,52,3
270,1,48,1
271,1,50,3
272,1,43,1
273,1,63,1
274,0,95,2
275,1,92,3
276,0,72,3
277,0,64,2
278,0,47,1
279,1,84,2
280,1,50,2
281,1,96,3
282,0,52,3
283,0,85,2
284,1,98,1
285,0,63,1
286,1,55,1
287,1,90,3
288,1,61,2
289,0,60,1
290,1,48,3
291,1,86,2
292,1,42,2
293,0,49,3
294,0,56,2
295,1,84,3
296,0,92,3
297,1,44,1
298,0,54,3
299,0,46,1
300,1,57,3
301,1,51,3
302,0,76,2
303,1,43,3
304,0,71,3
305,1,48,1
306,0,41,2
307,1,89,2
308,0,88,2
309,1,80,1
310,0,42,3
311,1,56,2
312,1,78,2
313,0,52,3
314,0,72,3
315,1,60,2
316,0,71,1
317,0,69,1
318,1,90,3
319,1,68,2
320,1,76,2
321,1,50,1
322,1,48,2
323,0,76,3
324,0,99,2
325,0,62,2
326,1,77,2
327,1,76,2
328,0,94,2
329,1,73,2
330,1,88,2
331,0,80,2
332,0,74,2
333,1,75,3
334,0,66,1
335,0,58,1
336,1,46,2
337,1,47,1
338,0,99,1
339,0,79,2
340,0,74,1
341,0,64,2
342,1,94,3
343,1,90,3
344,1,90,1
345,0,48,2
346,1,60,2
347,0,84,3
348,0,79,2
349,0,84,3
350,0,93,2
351,0,50,2
352,1,52,2
353,1,98,3
354,0,88,3
355,0,47,2
356,1,99,1
357,0,93,2
358,0,43,3
359,0,85,1
360,0,65,1
361,1,95,1
362,1,99,2
363,0,79,3
364,0,84,2
365,0,79,3
366,1,55,1
367,1,93,1
368,0,48,1
369,1,84,3
370,1,99,2
371,1,53,1
372,0,65,1
373,1,55,2
374,1,86,3
375,0,88,2
376,1,63,1
377,1,95,1
378,1,57,3
379,0,78,3
380,0,95,2
381,0,67,1
382,0,100,3
383,1,88,2
384,1,91,2
385,0,72,3
386,1,79,3
387,1,64,2
388,0,87,1
389,0,55,2
390,0,92,3
391,0,58,2
392,0,61,2
393,1,78,2
394,0,99,1
395,0,75,1
396,0,82,2
397,1,55,1
398,0,93,1
399,0,44,3
400,0,73,2
401,0,40,1
402,0,53,2
403,0,48,1
404,1,69,3
405,0,48,3
406,0,88,2
407,1,44,2
408,1,56,1
409,1,73,3
410,0,67,2
411,1,59,3
412,1,99,2
413,0,42,2
414,0,48,1
415,0,66,1
416,0,98,3
417,1,66,3
418,0,51,3
419,0,48,3
420,1,65,3
421,1,70,2
422,0,40,1
423,1,69,3
424,1,65,2
425,1,84,3
426,1,49,3
427,1,93,2
428,1,83,3
429,1,90,3
430,0,69,3
431,1,74,3
432,0,67,1
433,0,91,2
434,1,78,3
435,0,73,3
436,1,92,2
437,1,60,3
438,1,59,3
439,1,83,2
440,0,83,2
441,0,46,2
442,0,51,3
443,1,87,1
444,0,79,2
445,0,57,2
446,1,77,1
447,1,73,3
448,0,53,2
449,1,54,1
450,1,59,3
451,1,40,1
452,1,82,3
453,0,67,3
454,1,79,1
455,1,87,2
456,0,92,1
457,1,76,3
458,0,88,1
459,1,58,3
460,0,64,3
461,1,68,1
462,0,79,1
463,1,83,3
464,0,68,3
465,0,80,1
466,0,89,2
467,1,83,2
468,1,40,1
469,0,52,3
470,1,92,1
471,1,80,2
472,1,77,2
473,0,48,2
474,0,73,3
475,0,54,2
476,1,86,3
477,1,54,2
478,0,98,2
479,0,91,2
480,0,40,3
481,0,40,1
482,0,68,2
483,1,47,2
484,1,48,2
485,1,49,3
486,1,85,3
487,0,62,2
488,0,85,1
489,0,98,2
490,1,71,3
491,0,99,2
492,0,71,1
493,0,92,2
494,0,51,1
495,0,67,1
496,1,83,1
497,1,63,1
498,1,63,2
499,1,90,2
500,1,89,2
501,0,49,2
502,1,56,2
503,1,85,3
504,0,79,3
505,0,70,2
506,1,42,2
507,0,58,1
508,0,98,2
509,1,57,1
510,1,53,3
511,0,64,2
512,0,95,1
513,1,46,2
514,1,63,1
515,1,40,2
516,0,76,2
517,1,61,3
518,0,46,1
